index,Target Job,Previous Job ,Variable,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],number,,,,
846,,,Session,-0.002088311,0.007824708,-0.266886774,0.78955634,-0.017424457,0.013247835,903,,,,
847,kelp-urchin-farm,,,,,,,,,,,,,
848,,kelp-energy,,,,,,,,,,,,
849,,,const,1.323278946,1.864882591,0.709577618,0.477966103,-2.331823768,4.97838166,715,,,,
850,,,Complete_A,2.056711516,2.038489379,1.008939039,0.313003871,-1.938654251,6.052077282,614,,,,
851,,,Arg_above_2,0.26249927,0.441519749,0.594535738,0.552153846,-0.602863537,1.127862077,767,,,,
852,,,Mod_above_2,-2.781945621,1.055065494,-2.636751591,0.00837041,-4.849835992,-0.714055251,182,,,,
853,,,Exp_above_2,8.136220093,2.336504775,3.482218475,0.000497278,3.556754885,12.7156853,102,,,,
854,,,Time,-0.010193933,0.005349263,-1.905670538,0.056692964,-0.020678295,0.00029043,311,,,,
855,,,Job,0.104005525,0.308408475,0.337233031,0.735941239,-0.50046398,0.708475029,872,,,,
856,,,Task,-0.037975024,0.134435898,-0.28247681,0.777577926,-0.301464543,0.225514495,896,,,,
857,,,Biome,-1.446226354,0.992505868,-1.457146402,0.145075972,-3.391502109,0.499049402,445,,,,
858,,,Session,0.066503288,0.035070149,1.896293292,0.057921273,-0.002232941,0.135239517,315,,,,
859,,kelp-bull-kelp-forest,,,,,,,,,,,,
860,,,const,1.482697422,1.897263681,0.781492545,0.43451286,-2.235871061,5.201265906,694,,,,
861,,,Complete_A,1.980121104,2.181482972,0.907694962,0.364039406,-2.295506955,6.255749163,644,,,,
862,,,Arg_above_2,0.429417818,0.574180331,0.747879708,0.454532718,-0.695954951,1.554790588,703,,,,
863,,,Mod_above_2,-2.824344932,1.092874815,-2.584326121,0.009756949,-4.966340209,-0.682349655,190,,,,
864,,,Exp_above_2,7.985530782,2.322504206,3.438327803,0.000585319,3.433506185,12.53755538,106,,,,
865,,,Time,-0.009025126,0.004911437,-1.837573455,0.066125283,-0.018651365,0.000601113,328,,,,
866,,,Job,0.072984422,0.329710838,0.221358881,0.824813006,-0.573236946,0.719205791,920,,,,
867,,,Task,-0.032309138,0.140226759,-0.230406366,0.817776015,-0.307148536,0.24253026,915,,,,
868,,,Biome,-1.608869959,1.037146658,-1.551246342,0.12084266,-3.641640055,0.423900137,403,,,,
869,,,Session,0.070781694,0.03743623,1.890727091,0.058660784,-0.002591968,0.144155356,316,,,,
870,kelp-mussel-fest,,,,,,,,,,,,,
871,,kelp-bull-kelp-forest,,,,,,,,,,,,
872,,,const,4.886280132,1.339444326,3.647990467,0.000264299,2.261017494,7.511542771,88,,,,
873,,,Complete_A,0.759657321,0.688228852,1.103785925,0.269686012,-0.589246443,2.108561085,577,,,,
874,,,Arg_above_2,-0.300903194,0.200243705,-1.50268491,0.132920316,-0.693373645,0.091567256,425,,,,
875,,,Mod_above_2,-0.082474149,0.539359858,-0.152911174,0.878468324,-1.139600045,0.974651747,954,,,,
876,,,Exp_above_2,-0.191859004,0.560802294,-0.342115227,0.732264179,-1.291011303,0.907293295,867,,,,
877,,,Time,0.000380801,0.00207202,0.183782343,0.854184209,-0.003680284,0.004441885,933,,,,
878,,,Job,0.449780097,0.160309453,2.805699153,0.005020754,0.135579342,0.763980852,165,,,,
879,,,Task,-0.069842866,0.06868287,-1.01688917,0.309206156,-0.204458818,0.064773085,606,,,,
880,,,Biome,-1.37789733,0.415603749,-3.315411216,0.000915084,-2.19246571,-0.563328951,115,,,,
881,,,Session,0.016422432,0.009996801,1.642768734,0.100430791,-0.003170938,0.036015803,373,,,,
882,,kelp-urchin-farm,,,,,,,,,,,,
883,,,const,5.183893251,1.389950071,3.729553571,0.000191819,2.459641171,7.90814533,82,,,,
884,,,Complete_A,3.312705096,0.868189939,3.815645571,0.000135827,1.611084083,5.014326109,77,,,,
885,,,Arg_above_2,-0.531738104,0.203241934,-2.616281463,0.008889325,-0.930084974,-0.133391233,185,,,,
886,,,Mod_above_2,-0.285059551,0.635572548,-0.448508281,0.653786411,-1.530758856,0.960639753,819,,,,
887,,,Exp_above_2,-0.199578885,0.634623503,-0.314483918,0.753153529,-1.443418095,1.044260324,884,,,,
888,,,Time,-0.000299082,0.001926325,-0.155260338,0.876616082,-0.004074609,0.003476445,953,,,,
889,,,Job,0.493662808,0.157154239,3.141263084,0.001682208,0.18564616,0.801679456,133,,,,
890,,,Task,-0.042024271,0.068988094,-0.609152513,0.542423353,-0.177238452,0.093189909,759,,,,
891,,,Biome,-1.345340667,0.428155565,-3.142177229,0.001676965,-2.184510154,-0.50617118,131,,,,
892,,,Session,-0.008561213,0.005746013,-1.489939731,0.136240084,-0.019823191,0.002700765,428,,,,
893,bayou-boom-cause,,,,,,,,,,,,,
894,,coral-ocean-plastics,,,,,,,,,,,,
895,,,const,3.602816684,4.303466934,0.83718935,0.402486143,-4.831823515,12.03745688,663,,,,
896,,,Complete_A,1.982147817,0.921896527,2.150076239,0.031549185,0.175263827,3.789031808,258,,,,
897,,,Arg_above_2,1.017649205,0.322228678,3.158158391,0.001587693,0.3860926,1.649205809,128,,,,
898,,,Mod_above_2,-0.60005092,0.382835335,-1.567386456,0.117024388,-1.350394389,0.15029255,399,,,,
899,,,Exp_above_2,0.166941976,0.477410403,0.349682316,0.726577126,-0.76876522,1.102649171,863,,,,
900,,,Time,-0.002805726,0.001772266,-1.583129003,0.113392064,-0.006279305,0.000667852,392,,,,
901,,,Job,-0.106730962,0.167364502,-0.637715652,0.523658795,-0.434759358,0.221297434,748,,,,
902,,,Task,-0.089491622,0.06057526,-1.477362575,0.139578473,-0.208216949,0.029233706,433,,,,
903,,,Biome,-0.210269807,1.228964804,-0.171095061,0.86414902,-2.618996561,2.198456946,939,,,,
904,,,Session,0.025390849,0.020109963,1.262600492,0.206732791,-0.014023954,0.064805651,509,,,,
905,,bayou-dirty-detritus,,,,,,,,,,,,
906,,,const,3.187101837,3.991612448,0.798449719,0.424609561,-4.636314801,11.01051848,684,,,,
907,,,Complete_A,2.307358707,1.276422952,1.807675664,0.070656994,-0.194384308,4.809101722,335,,,,
908,,,Arg_above_2,0.856752547,0.29824062,2.872688995,0.004069946,0.272211673,1.441293421,156,,,,
909,,,Mod_above_2,-0.313347171,0.374743968,-0.836163349,0.403063014,-1.047831852,0.42113751,664,,,,
910,,,Exp_above_2,-0.095117495,0.539188451,-0.176408628,0.859972927,-1.15190744,0.96167245,935,,,,
911,,,Time,-0.00198004,0.001494657,-1.324744971,0.185255752,-0.004909515,0.000949435,489,,,,
912,,,Job,-0.012613227,0.155965758,-0.080871773,0.935543929,-0.318300497,0.293074042,986,,,,
913,,,Task,-0.10700922,0.058413268,-1.831933454,0.066961336,-0.221497122,0.007478682,330,,,,
914,,,Biome,-0.19838,1.162832838,-0.170600617,0.864537813,-2.477490482,2.080730483,941,,,,
915,,,Session,0.027628,0.019029248,1.451870276,0.146537679,-0.009668641,0.064924641,448,,,,
916,,bayou-shrimp-tastrophe,,,,,,,,,,,,
917,,,const,3.301304487,4.066680514,0.811793421,0.416910178,-4.669242857,11.27185183,681,,,,
918,,,Complete_A,11.60923399,180.8819457,0.064181275,0.948825887,-342.9128651,366.1313331,990,,,,
919,,,Arg_above_2,0.810357357,0.292932602,2.766361106,0.005668573,0.236220007,1.384494706,166,,,,
920,,,Mod_above_2,-0.514926155,0.358252103,-1.437329051,0.150624518,-1.217087375,0.187235064,455,,,,
921,,,Exp_above_2,0.187275466,0.485915422,0.385407538,0.699935499,-0.76510126,1.139652193,846,,,,
922,,,Time,-0.001936475,0.001616851,-1.197683133,0.231040398,-0.005105444,0.001232494,534,,,,
923,,,Job,-0.022649673,0.156556824,-0.144673818,0.884968412,-0.329495409,0.284196062,960,,,,
924,,,Task,-0.093411691,0.057788403,-1.616443545,0.10599845,-0.20667488,0.019851498,380,,,,
925,,,Biome,-0.216145724,1.185459952,-0.182330684,0.85532322,-2.539604535,2.107313088,934,,,,
926,,,Session,0.028647454,0.019339097,1.481323278,0.138520448,-0.009256479,0.066551386,431,,,,
927,coral-stressed,,,,,,,,,,,,,
928,,kelp-bull-kelp-forest,,,,,,,,,,,,
929,,,const,2.977823987,1.411438789,2.10977905,0.034877392,0.211454795,5.74419318,269,,,,
930,,,Complete_A,1.562344348,0.712094399,2.19401297,0.028234477,0.166664972,2.958023723,250,,,,
931,,,Arg_above_2,1.073403362,0.259022504,4.144054451,3.41E-05,0.565728582,1.581078142,57,,,,
932,,,Mod_above_2,0.32741975,0.624379978,0.524391815,0.600006048,-0.89634252,1.55118202,783,,,,
933,,,Exp_above_2,-0.12261497,1.070558956,-0.114533599,0.908814813,-2.220871967,1.975642026,974,,,,
934,,,Time,-0.00066376,0.001097881,-0.604582993,0.54545611,-0.002815567,0.001488047,762,,,,
935,,,Job,0.292110579,0.181144496,1.612583245,0.106835081,-0.062926109,0.647147268,382,,,,
936,,,Task,-0.216209053,0.08491847,-2.546078064,0.010894082,-0.382646195,-0.049771911,197,,,,
937,,,Biome,-0.691408908,0.454305113,-1.521904307,0.12803306,-1.581830566,0.199012751,415,,,,
938,,,Session,-0.004326603,0.004892593,-0.884316923,0.376525156,-0.013915909,0.005262704,649,,,,
939,,arctic-salmon-monitoring,,,,,,,,,,,,
940,,,const,3.103893741,1.467362744,2.115287275,0.03440547,0.22791561,5.979871872,268,,,,
941,,,Complete_A,0.483578764,0.660483807,0.732158395,0.464071895,-0.81094571,1.778103238,708,,,,
942,,,Arg_above_2,1.073121269,0.263934192,4.065866807,4.79E-05,0.555819759,1.590422779,60,,,,
943,,,Mod_above_2,0.093564962,0.637655313,0.146732819,0.883342913,-1.156216487,1.343346411,958,,,,
944,,,Exp_above_2,-0.122940131,1.090883507,-0.112697763,0.910270174,-2.261032516,2.015152253,975,,,,
945,,,Time,-0.00091985,0.001071047,-0.858832685,0.390432832,-0.003019062,0.001179363,658,,,,
946,,,Job,0.309807554,0.185548048,1.669689102,0.094980891,-0.053859938,0.673475045,363,,,,
947,,,Task,-0.19322799,0.084554317,-2.285252808,0.022298008,-0.358951407,-0.027504574,232,,,,
948,,,Biome,-0.611520646,0.466416699,-1.31110367,0.189822741,-1.525680578,0.302639286,496,,,,
949,,,Session,-0.004889389,0.004581336,-1.06724102,0.285863014,-0.013868642,0.004089863,589,,,,
950,arctic-stationary-survival,,,,,,,,,,,,,
951,,arctic-above-n-below,,,,,,,,,,,,
952,,,const,5.789356381,2.324751463,2.490311963,0.012763101,1.23292724,10.34578552,202,,,,
953,,,Complete_A,2.204179917,1.391611371,1.58390479,0.113215387,-0.523328251,4.931688084,391,,,,
954,,,Arg_above_2,-0.117848235,0.375089103,-0.314187308,0.753378782,-0.853009369,0.617312898,885,,,,
955,,,Mod_above_2,-0.555004382,0.761499507,-0.728830914,0.466105099,-2.04751599,0.937507227,709,,,,
956,,,Exp_above_2,-0.042415696,0.915742304,-0.046318375,0.963056494,-1.837237631,1.75240624,997,,,,
957,,,Time,-0.002529807,0.001605524,-1.575689605,0.115097354,-0.005676576,0.000616962,395,,,,
958,,,Job,0.163143347,0.254131593,0.641964051,0.520896525,-0.334945422,0.661232116,746,,,,
959,,,Task,0.055395369,0.118482431,0.467540789,0.640113016,-0.176825929,0.287616667,802,,,,
960,,,Biome,-1.029342104,0.676627588,-1.521283084,0.128188813,-2.355507808,0.2968236,416,,,,
961,,,Session,-0.007908099,0.005338315,-1.481384957,0.138504021,-0.018371004,0.002554806,430,,,,
962,,bayou-displaced-reef,,,,,,,,,,,,
963,,,const,6.585110667,2.612995447,2.520138592,0.011730864,1.463733699,11.70648763,199,,,,
964,,,Complete_A,-1.639341534,1.584542583,-1.034583451,0.300863486,-4.744987929,1.466304862,601,,,,
965,,,Arg_above_2,-0.272897304,0.391671263,-0.696750897,0.4859587,-1.040558873,0.494764265,723,,,,
966,,,Mod_above_2,-0.715631366,0.778327462,-0.919447663,0.357861469,-2.241125159,0.809862428,640,,,,
967,,,Exp_above_2,0.14324571,0.961100994,0.149043348,0.881519428,-1.740477624,2.026969045,957,,,,
968,,,Time,-0.003008036,0.001611009,-1.867174618,0.061877207,-0.006165557,0.000149485,322,,,,
969,,,Job,0.330321709,0.284868512,1.159558518,0.246228598,-0.228010314,0.888653733,555,,,,
970,,,Task,0.041015165,0.118162704,0.347107533,0.728510535,-0.190579479,0.272609808,865,,,,
971,,,Biome,-1.091277936,0.700994724,-1.556756277,0.119528362,-2.465202348,0.282646476,402,,,,
972,,,Session,-0.002438828,0.005561246,-0.438539927,0.660994933,-0.013338669,0.008461013,823,,,,
973,,kelp-start-refuge,,,,,,,,,,,,
974,,,const,5.597537439,2.354205777,2.377675517,0.017422149,0.983378903,10.21169597,220,,,,
975,,,Complete_A,1.100973202,0.700306537,1.572130409,0.11592031,-0.271602388,2.473548792,397,,,,
976,,,Arg_above_2,-0.026375267,0.376268475,-0.070096935,0.944116506,-0.763847926,0.711097393,987,,,,
977,,,Mod_above_2,-0.473011792,0.757296492,-0.624605814,0.532229803,-1.957285641,1.011262058,753,,,,
978,,,Exp_above_2,0.093625304,1.004394288,0.093215687,0.925732212,-1.874951328,2.062201936,981,,,,
979,,,Time,-0.00285523,0.001614753,-1.768214452,0.077025059,-0.006020087,0.000309628,343,,,,
980,,,Job,0.108238411,0.270242256,0.400523637,0.688770878,-0.421426678,0.6379035,842,,,,
981,,,Task,0.054493964,0.120605554,0.451836273,0.651386937,-0.181888578,0.290876505,815,,,,
982,,,Biome,-0.97968367,0.673565263,-1.454474752,0.145814728,-2.299847327,0.340479988,447,,,,
983,,,Session,-0.003514556,0.004474461,-0.785470206,0.432177933,-0.012284339,0.005255227,692,,,,
984,coral-turtle-population,,,,,,,,,,,,,
985,,kelp-bull-kelp-forest,,,,,,,,,,,,
986,,,const,0.675598845,0.850785254,0.794088569,0.427143872,-0.991909611,2.343107301,689,,,,
987,,,Complete_A,-1.668751053,1.000930696,-1.667199397,0.095474763,-3.630539168,0.293037063,364,,,,
988,,,Arg_above_2,0.007895284,1.398920095,0.005643842,0.995496889,-2.73393772,2.749728288,1019,,,,
989,,,Mod_above_2,-8.031373272,2.506877267,-3.203736129,0.001356567,-12.94476243,-3.117984114,125,,,,
990,,,Exp_above_2,5.202069157,6.347097631,0.8195981,0.412445257,-7.238013607,17.64215192,675,,,,
991,,,Time,0.011543358,0.009815575,1.176024642,0.239585029,-0.007694815,0.030781532,546,,,,
992,,,Job,2.273125253,0.318485578,7.137294161,9.52E-13,1.648904991,2.897345515,10,,,,
993,,,Task,-0.189529817,0.167280877,-1.133003487,0.257212789,-0.517394311,0.138334677,562,,,,
994,,,Biome,-0.718231786,0.355967094,-2.017691517,0.043623399,-1.415914469,-0.020549102,290,,,,
995,,,Session,0.037747649,0.018153807,2.079324199,0.037587562,0.002166842,0.073328456,277,,,,
996,,arctic-stationary-survival,,,,,,,,,,,,
997,,,const,0.312463043,0.70291304,0.444525887,0.656662417,-1.065221201,1.690147286,820,,,,
998,,,Complete_A,1.982911669,1.295392356,1.530742141,0.125833134,-0.556010695,4.521834032,411,,,,
999,,,Arg_above_2,-0.142260882,1.122919252,-0.126688434,0.899187,-2.343142174,2.05862041,968,,,,
1000,,,Mod_above_2,-7.312461104,2.090291109,-3.498297951,0.000468238,-11.4093564,-3.215565813,100,,,,
1001,,,Exp_above_2,6.390441495,6.172347718,1.035334007,0.300512954,-5.707137733,18.48802072,600,,,,
1002,,,Time,0.009338142,0.00829765,1.125396004,0.260421263,-0.006924953,0.025601237,569,,,,
1003,,,Job,2.089409792,0.295038883,7.081811615,1.42E-12,1.511144206,2.667675377,11,,,,
1004,,,Task,-0.31263628,0.146682235,-2.131384754,0.033057458,-0.600128178,-0.025144382,265,,,,
1005,,,Biome,-0.721356017,0.344857019,-2.091753906,0.036460536,-1.397263355,-0.045448679,276,,,,
1006,,,Session,0.02184368,0.019363181,1.128103901,0.259276042,-0.016107457,0.059794816,566,,,,
1007,arctic-underneath,,,,,,,,,,,,,
1008,,arctic-missing-whale,,,,,,,,,,,,
1009,,,const,3.8641783,1.903038239,2.030531084,0.042302585,0.13429189,7.59406471,287,,,,
1010,,,Complete_A,-0.089580673,0.879781893,-0.101821456,0.918898395,-1.813921498,1.634760152,979,,,,
1011,,,Arg_above_2,-0.430440983,0.318680663,-1.3506969,0.176792546,-1.055043605,0.194161638,480,,,,
1012,,,Mod_above_2,-0.463875565,0.682911994,-0.679261118,0.496972428,-1.802358478,0.874607348,734,,,,
1013,,,Exp_above_2,0.29571072,0.610009112,0.484764431,0.627843456,-0.89988517,1.491306611,793,,,,
1014,,,Time,0.011922928,0.012222744,0.975470629,0.329326864,-0.01203321,0.035879066,623,,,,
1015,,,Job,0.312449023,0.23684247,1.319227177,0.187093175,-0.151753688,0.776651734,492,,,,
1016,,,Task,-0.018700635,0.079446405,-0.235386805,0.813908527,-0.174412727,0.137011456,911,,,,
1017,,,Biome,-0.887522717,0.556069899,-1.596063225,0.110474678,-1.977399692,0.202354259,387,,,,
1018,,,Session,0.050394725,0.02428737,2.074935427,0.03799252,0.002792354,0.097997097,279,,,,
1019,,arctic-salmon-competition,,,,,,,,,,,,
1020,,,const,3.774805026,1.79050188,2.108238516,0.035010363,0.265485827,7.284124224,270,,,,
1021,,,Complete_A,9.958618866,24.47851148,0.406831064,0.68413207,-38.01838203,57.93561976,837,,,,
1022,,,Arg_above_2,-0.531773866,0.313764322,-1.694819417,0.090109683,-1.146740637,0.083192905,357,,,,
1023,,,Mod_above_2,-0.474911411,0.654067481,-0.726089318,0.467784017,-1.756860116,0.807037295,711,,,,
1024,,,Exp_above_2,-0.077338342,0.663567834,-0.116549263,0.907217246,-1.377907397,1.223230713,973,,,,
1025,,,Time,0.012826923,0.012540983,1.022800474,0.306402194,-0.011752951,0.037406798,604,,,,
1026,,,Job,0.337587244,0.224134653,1.506180499,0.132020844,-0.101708604,0.776883093,422,,,,
1027,,,Task,-0.000610338,0.077855072,-0.007839408,0.993745121,-0.153203474,0.151982799,1015,,,,
1028,,,Biome,-0.938609865,0.553673517,-1.695240672,0.090029774,-2.023790018,0.146570288,356,,,,
1029,,,Session,0.041398533,0.025863181,1.60067443,0.109449047,-0.009292371,0.092089437,384,,,,
1030,,coral-fishy-bizz,,,,,,,,,,,,
1031,,,const,4.2237223,1.978538825,2.13476847,0.032779927,0.345857461,8.10158714,262,,,,
1032,,,Complete_A,8.232745384,14.99692404,0.548962265,0.583031346,-21.16068561,37.62617638,777,,,,
1033,,,Arg_above_2,-0.317805313,0.318619598,-0.997444333,0.318548881,-0.94228825,0.306677625,619,,,,
1034,,,Mod_above_2,-0.421569744,0.622364549,-0.677367862,0.498172584,-1.641381845,0.798242357,736,,,,
1035,,,Exp_above_2,-0.015768696,0.629123322,-0.025064555,0.980003472,-1.24882775,1.217290358,1007,,,,
1036,,,Time,0.010122536,0.011519468,0.8787329,0.379546116,-0.012455207,0.032700279,651,,,,
1037,,,Job,0.255343983,0.244641833,1.043746196,0.29660283,-0.224145199,0.734833165,596,,,,
1038,,,Task,-0.01839264,0.080381746,-0.228816134,0.819011827,-0.175937967,0.139152686,916,,,,
1039,,,Biome,-0.833775928,0.576942671,-1.445162528,0.148412239,-1.964562784,0.297010927,451,,,,
1040,,,Session,0.033761435,0.025311085,1.333859682,0.182249847,-0.015847379,0.08337025,487,,,,
1041,kelp-urchin-barren-predict,,,,,,,,,,,,,
1042,,coral-turtle-population,,,,,,,,,,,,
1043,,,const,-0.06977561,2.761603058,-0.025266343,0.97984252,-5.482418143,5.342866924,1006,,,,
1044,,,Complete_A,1.709770135,2.028453106,0.842893597,0.399287955,-2.265924898,5.685465167,662,,,,
1045,,,Arg_above_2,0.479980032,0.354085276,1.355549257,0.175242626,-0.214014356,1.17397442,476,,,,
1046,,,Mod_above_2,7.577842778,1.275590183,5.940656239,2.84E-09,5.077731961,10.0779536,20,,,,
1047,,,Exp_above_2,-1.614195528,1.059322887,-1.523799351,0.127558842,-3.690430235,0.462039178,412,,,,
1048,,,Time,0.000611032,0.004521189,0.135148598,0.892494387,-0.008250336,0.0094724,962,,,,
1049,,,Job,-0.241706826,0.277664358,-0.870500007,0.384027215,-0.785918968,0.302505316,655,,,,
1050,,,Task,0.041983884,0.099762578,0.420838005,0.673873378,-0.153547176,0.237514945,830,,,,
1051,,,Biome,-0.619368204,0.744981296,-0.83138759,0.405754707,-2.079504713,0.840768305,670,,,,
1052,,,Session,0.01849315,0.012532544,1.475610232,0.140048557,-0.006070185,0.043056486,435,,,,
1053,,kelp-refuge-failure-simulation,,,,,,,,,,,,
1054,,,const,-0.976450612,2.860657215,-0.34133786,0.732849249,-6.583235725,4.630334502,868,,,,
1055,,,Complete_A,4.293899862,1.270148089,3.380629315,0.0007232,1.804455354,6.783344371,109,,,,
1056,,,Arg_above_2,0.813069617,0.492914893,1.649513188,0.099042544,-0.153025821,1.779165056,371,,,,
1057,,,Mod_above_2,8.94472938,1.675832738,5.337483375,9.42E-08,5.660157569,12.22930119,29,,,,
1058,,,Exp_above_2,-2.867468147,1.124682063,-2.549581114,0.010785242,-5.071804485,-0.66313181,196,,,,
1059,,,Time,-0.004135835,0.005831749,-0.709192832,0.478204821,-0.015565853,0.007294184,718,,,,
1060,,,Job,-0.302932108,0.32507394,-0.931886782,0.351395039,-0.940065322,0.334201107,635,,,,
1061,,,Task,0.028307118,0.122388464,0.231289102,0.817090213,-0.211569863,0.268184099,913,,,,
1062,,,Biome,-0.225606219,1.011820928,-0.2229705,0.823558466,-2.208738796,1.757526358,918,,,,
1063,,,Session,0.017803402,0.01543271,1.153614781,0.248658136,-0.012444153,0.048050957,556,,,,
1064,,kelp-start-refuge,,,,,,,,,,,,
1065,,,const,1.056890474,2.518531128,0.419645587,0.67474438,-3.879339831,5.99312078,831,,,,
1066,,,Complete_A,0.432444647,1.150358663,0.375921581,0.706975196,-1.822216901,2.687106195,855,,,,
1067,,,Arg_above_2,0.412463461,0.354224204,1.164413546,0.24425646,-0.28180322,1.106730143,552,,,,
1068,,,Mod_above_2,7.423349837,1.243471972,5.969856983,2.37E-09,4.986189556,9.860510119,19,,,,
1069,,,Exp_above_2,-1.762105151,0.993997256,-1.772746494,0.076270723,-3.710303974,0.186093672,341,,,,
1070,,,Time,0.000645154,0.004534331,0.142282095,0.886857189,-0.008241971,0.009532279,961,,,,
1071,,,Job,-0.183092264,0.265631558,-0.689271506,0.490652425,-0.703720552,0.337536023,726,,,,
1072,,,Task,0.047846159,0.099747252,0.479673958,0.631459248,-0.147654862,0.243347181,796,,,,
1073,,,Biome,-0.744287523,0.732487182,-1.016109961,0.309577026,-2.179936019,0.691360974,608,,,,
1074,,,Session,0.018780602,0.012707428,1.477923174,0.139428343,-0.006125499,0.043686702,432,,,,
1075,coral-lionfish-conspiracy,,,,,,,,,,,,,
1076,,coral-turtle-population,,,,,,,,,,,,
1077,,,const,3.476240577,1.974892038,1.760218032,0.078370846,-0.394476691,7.346957844,345,,,,
1078,,,Complete_A,4.76027355,1.210010874,3.934075016,8.35E-05,2.388695815,7.131851284,70,,,,
1079,,,Arg_above_2,0.76245274,0.544725449,1.399700972,0.161602883,-0.305189521,1.830095002,465,,,,
1080,,,Mod_above_2,0.042789148,0.767091052,0.055781054,0.955516228,-1.460681688,1.546259983,992,,,,
1081,,,Exp_above_2,2.924876679,4.156780728,0.703639877,0.481657071,-5.222263839,11.0720172,721,,,,
1082,,,Time,0.000162946,0.004420916,0.03685802,0.970598212,-0.00850189,0.008827783,1001,,,,
1083,,,Job,-0.384603519,0.207804166,-1.850797919,0.064198631,-0.791892201,0.022685163,325,,,,
1084,,,Task,-0.056585267,0.111833953,-0.505975738,0.612873682,-0.275775788,0.162605254,787,,,,
1085,,,Biome,-0.046439194,0.711399446,-0.065278648,0.947952143,-1.440756486,1.347878098,989,,,,
1086,,,Session,0.002328247,0.011103789,0.20968041,0.833917116,-0.019434779,0.024091273,925,,,,
1087,,kelp-bull-kelp-forest,,,,,,,,,,,,
1088,,,const,3.43801226,2.065579666,1.664429756,0.096026578,-0.610449492,7.486474012,365,,,,
1089,,,Complete_A,2.919821564,1.027642785,2.841280654,0.004493275,0.905678717,4.933964411,161,,,,
1090,,,Arg_above_2,0.773225371,0.534213951,1.447407671,0.147782778,-0.273814733,1.820265474,450,,,,
1091,,,Mod_above_2,0.124162011,0.77201098,0.160829333,0.872227821,-1.388951705,1.637275727,948,,,,
1092,,,Exp_above_2,2.82460645,4.017264369,0.703116895,0.481982904,-5.049087029,10.69829993,722,,,,
1093,,,Time,0.001786099,0.005099613,0.35024198,0.726157104,-0.008208959,0.011781156,862,,,,
1094,,,Job,-0.245070784,0.227302417,-1.078170606,0.280957627,-0.690575335,0.200433766,588,,,,
1095,,,Task,-0.115184522,0.12049485,-0.955929003,0.339108105,-0.351350088,0.120981044,627,,,,
1096,,,Biome,0.311076714,0.717907149,0.433310511,0.664789203,-1.095995443,1.71814887,825,,,,
1097,,,Session,0.001695746,0.010674985,0.158852312,0.873785233,-0.019226839,0.022618331,950,,,,
1098,kelp-urchin-barren-viz,,,,,,,,,,,,,
1099,,arctic-missing-whale,,,,,,,,,,,,
1100,,,const,4.32707519,1.822673787,2.374026127,0.017595305,0.754700213,7.899450167,221,,,,
1101,,,Complete_A,2.21942722,0.898439203,2.470314309,0.013499438,0.458518739,3.9803357,204,,,,
1102,,,Arg_above_2,-0.10245237,0.377745679,-0.271220496,0.78622145,-0.842820297,0.637915556,900,,,,
1103,,,Mod_above_2,0.896548899,1.501372391,0.597152915,0.550405292,-2.046086913,3.839184712,766,,,,
1104,,,Exp_above_2,-0.870728778,1.300522296,-0.669522376,0.503162312,-3.419705639,1.678248083,740,,,,
1105,,,Time,0.04282041,0.036892472,1.160681519,0.24577144,-0.029487506,0.115128326,554,,,,
1106,,,Job,-0.144108249,0.311475853,-0.462662669,0.643606181,-0.754589704,0.466373205,805,,,,
1107,,,Task,0.060959225,0.122977165,0.495695482,0.620109275,-0.180071589,0.301990039,790,,,,
1108,,,Biome,-0.496712103,0.649481887,-0.764782071,0.444401326,-1.769673211,0.776249005,699,,,,
1109,,,Session,0.02472606,0.030419364,0.812839498,0.416310086,-0.034894797,0.084346917,679,,,,
1110,,coral-lionfish-conspiracy,,,,,,,,,,,,
1111,,,const,4.375956137,1.714390694,2.552484771,0.010695759,1.015812122,7.736100152,195,,,,
1112,,,Complete_A,3.505935686,1.241540169,2.823860053,0.00474491,1.07256167,5.939309702,163,,,,
1113,,,Arg_above_2,-1.069268337,0.497993111,-2.147154877,0.031780954,-2.045316899,-0.093219775,259,,,,
1114,,,Mod_above_2,0.503876567,1.320138538,0.381684613,0.702695314,-2.083547422,3.091300557,851,,,,
1115,,,Exp_above_2,-0.048286133,1.22685672,-0.039357598,0.968605286,-2.452881118,2.356308851,1000,,,,
1116,,,Time,0.042070708,0.036698685,1.146381911,0.251637164,-0.029857392,0.113998809,558,,,,
1117,,,Job,0.204335248,0.288107951,0.709231547,0.4781808,-0.36034596,0.769016456,717,,,,
1118,,,Task,0.052388383,0.121505613,0.43116019,0.666351898,-0.185758241,0.290535007,826,,,,
1119,,,Biome,-0.756721084,0.630360111,-1.20045839,0.229961363,-1.992204198,0.47876203,532,,,,
1120,,,Session,0.017340122,0.028765387,0.602812042,0.546633735,-0.039039001,0.073719245,763,,,,
1121,,kelp-bull-kelp-forest,,,,,,,,,,,,
1122,,,const,3.973504614,1.739860763,2.283806094,0.022382929,0.563440179,7.383569048,234,,,,
1123,,,Complete_A,-0.271781999,1.444080087,-0.188204242,0.850716547,-3.102126959,2.558562962,932,,,,
1124,,,Arg_above_2,-0.381233854,0.413259188,-0.922505453,0.356264987,-1.191206978,0.42873927,638,,,,
